Kp_real;Bz_GSM;Density;Speed;Magnitud_IMF
1,667;-0,702592248;0,956579637;-0,867679517;-0,835842914
0,667;-0,837899786;0,916299591;-0,857761519;-0,737246862
0,667;-0,49963094;0,755179407;-0,877597515;-0,770112212
0,667;-0,871726671;0,755179407;-0,857761519;-0,540054757
0,01;-1,209995516;0,876019545;-0,867679517;-0,375728003
0,01;-1,31147617;0,916299591;-0,917269507;-0,408593354
0,01;-0,93938044;1,057279751;-0,927187505;-0,441458705
0,667;-0,837899786;1,016999705;-0,937105502;-0,277131951
0,667;-0,770246017;0,876019545;-1,006531488;-0,112805197
0,667;0,041599213;1,137839843;-0,956941498;-0,737246862
0,02;-0,736419132;0,936439614;-0,927187505;-0,441458705
0,02;-0,465804055;0,996859683;-0,877597515;-0,67151616
0,02;0,075426098;0,97671966;-0,877597515;-0,770112212
0,333;0,176906752;0,996859683;-0,897433511;-0,704381511
0,333;0,109252983;1,077419774;-0,907351509;-0,802977563
0,333;0,278387406;1,198259912;-0,927187505;-0,770112212
0,667;-0,364323402;1,137839843;-0,927187505;-0,868708265
0,667;-0,465804055;1,137839843;-0,9470235;-0,802977563
0,667;-0,093708325;1,097559797;-0,9470235;-0,868708265
0,333;0,176906752;1,137839843;-0,937105502;-0,737246862
0,333;0,210733636;1,258679981;-0,927187505;-0,67151616
0,333;0,109252983;1,379520118;-0,897433511;-0,770112212
0,333;0,616656251;1,198259912;-0,927187505;-0,572920108
0,333;1,090232636;1,298960026;-0,927187505;-0,638650809
0,333;0,954925097;1,278820003;-0,9470235;-0,704381511
0;0,379868059;1,157979866;-0,986695492;-0,868708265
0;0,007772329;0,956579637;-1,026367484;-0,67151616
0;0,007772329;0,916299591;-1,056121478;-0,737246862
0;0,447521829;0,936439614;-1,036285482;-0,901573616
0;0,447521829;0,855879522;-1,105711468;-0,835842914
0;0,244560521;0,77531943;-1,115629466;-0,704381511
0;0,007772329;0,876019545;-1,175137453;-0,737246862
0;-0,12753521;0,896159568;-1,234645441;-0,67151616
0;-0,12753521;1,016999705;-1,244563439;-0,67151616
0,667;-0,364323402;2,044140875;-1,125547464;-0,375728003
0,667;-0,229015863;2,366381242;-1,14538346;-0,309997301
0,667;0,785790674;2,869881815;-1,14538346;-0,638650809
0,333;0,718136905;3,131702113;-1,165219455;-0,802977563
0,333;1,056405751;2,446941333;-1,165219455;-0,507189406
0,333;-0,262842748;1,419800164;-1,016449486;-0,540054757
0,667;-0,093708325;1,379520118;-1,036285482;-0,540054757
0,667;-0,195188979;1,621200393;-1,066039476;-0,934438966
0,667;-0,465804055;1,419800164;-1,04620348;-0,901573616
0;-0,195188979;1,178119889;-1,04620348;-0,605785458
0;0,244560521;1,097559797;-1,04620348;-0,802977563
0;0,413694944;0,97671966;-1,036285482;-0,934438966
0,333;0,616656251;0,815599476;-1,09579347;-0,802977563
0,333;0,481348713;0,896159568;-1,09579347;-0,934438966
0,333;0,515175598;0,996859683;-1,105711468;-1,000169668
0,333;0,041599213;1,077419774;-1,115629466;-1,065900369
0,333;-0,12753521;1,11769982;-1,09579347;-0,967304317
0,333;-0,229015863;1,520500279;-1,056121478;-0,901573616
0,01;0,210733636;1,94344076;-1,09579347;-0,868708265
0,01;0,143079867;2,346241219;-1,085875472;-0,737246862
0,01;-1,446783708;1,661480439;-1,036285482;0,084386908
0,02;-0,93938044;2,144840989;-1,105711468;-0,342862652
0,02;-0,229015863;2,487221379;-1,135465462;-0,408593354
0,02;0,616656251;2,346241219;-1,155301457;-0,309997301
0,333;0,75196379;2,185121035;-1,194973449;-0,112805197
0,333;0,549002482;2,366381242;-1,214809445;-0,408593354
0,333;0,210733636;2,446941333;-1,204891447;-1,033035019
0,333;-0,05988144;2,608061517;-1,165219455;-1,065900369
0,333;0,515175598;3,856742938;-1,14538346;-0,507189406
0,333;0,413694944;5,165844428;-1,135465462;-0,408593354
0,333;0,176906752;5,508224818;-1,115629466;-0,67151616
0,333;0,616656251;5,991585369;-1,075957474;0,051521557
0,333;1,631462789;6,676346148;-0,986695492;1,300404887
2,667;1,529982135;8,126427799;-0,9470235;1,00461673
2,667;-1,717398785;6,998586515;-0,788335533;2,122038656
2,667;1,902077866;2,930301884;-0,431287607;2,779345672
2,667;-1,277649286;2,205261058;-0,094075676;2,023442604
2,667;-0,330496517;0,97671966;-0,014731692;3,206595232
2,667;-0,093708325;0,654479293;0,153874273;3,173729882
2,667;0,379868059;0,493359109;0,322480238;3,338056635
2,667;1,293193943;0,533639155;0,560512189;2,877941724
2,667;-0,431977171;0,372518972;0,808462138;2,647884269
3,333;-0,736419132;0,453079063;0,858052128;2,483557515
3,333;-1,31147617;0,15097872;1,046494089;2,187769358
3,333;0,684310021;-0,110841579;1,344034028;0,906020678
3,333;0,785790674;-0,352521854;1,403542015;0,807424625
3,333;0,379868059;-0,211541693;1,482885999;0,511636468
3,333;-0,364323402;-0,211541693;1,502721995;0,544501819
3,667;0,887271328;-0,352521854;1,344034028;0,938886028
3,667;-0,567284709;-0,372661877;1,294444038;0,610232521
3,667;0,819617559;-0,211541693;1,373788021;0,347309714
3,333;0,515175598;-0,271961762;1,344034028;0,643097871
3,333;0,210733636;-0,292101785;1,522557991;0,544501819
3,333;0,515175598;-0,292101785;1,472968001;0,643097871
3,333;0,244560521;-0,352521854;1,641573966;0,971751379
3,333;-0,195188979;-0,3928019;1,710999952;0,445905767
3,333;-0,49963094;-0,493502014;1,790343936;0,413040416
2,667;0,582829367;-0,513642037;1,591983976;0,347309714
2,667;-0,12753521;-0,53378206;1,701081954;0,281579013
2,667;0,447521829;-0,453221968;1,760589942;-0,047074495
2,667;0,143079867;-0,53378206;1,701081954;-0,014209144
2,667;-0,431977171;-0,553922083;1,760589942;-0,079939846
2,667;-1,007034209;-0,553922083;1,691163956;-0,014209144
2,667;-0,702592248;-0,513642037;1,869687919;-0,145670548
2,667;-0,093708325;-0,574062106;1,820097929;-0,211401249
2,667;0,447521829;-0,553922083;1,859769921;-0,441458705
1,667;-0,026054556;-0,634482175;1,780425938;-0,441458705
1,667;-0,330496517;-0,694902243;1,591983976;-0,309997301
1,667;-0,567284709;-0,654622198;1,72091795;-0,342862652
0,02;0,379868059;-0,614342152;1,820097929;-0,277131951
0,02;0,887271328;-0,594202129;1,820097929;-0,277131951
0,02;0,75196379;-0,634482175;1,830015927;-0,277131951
0,01;0,413694944;-0,735182289;1,403542015;-0,211401249
0,01;0,176906752;-0,795602358;1,274608042;-0,145670548
0,01;0,954925097;-0,755322312;1,542393987;-0,014209144
1,667;0,988751982;-0,755322312;1,502721995;-0,079939846
1,667;0,785790674;-0,634482175;1,710999952;-0,2442666
1,667;0,75196379;-0,614342152;1,661409962;-0,474324055
0,03;1,022578866;-0,654622198;1,443214007;-0,309997301
0,03;0,143079867;-0,654622198;1,433296009;-0,277131951
0,03;-0,026054556;-0,654622198;1,433296009;-0,309997301
3,333;0,041599213;-0,634482175;1,502721995;-0,474324055
